county_fips,nfip_repetitive_loss,nfip_severe_repetitive_loss,nfip_total_properties,nfip_total_losses,nfip_mean_losses_per_property,nfip_mitigated_pct,nfip_insured_pct,nfip_most_recent_loss_year
13039,21,3,25,62,2.48,0.08,0.48,2022
13043,1,0,1,2,2.0,0.0,1.0,2024
13045,5,0,5,13,2.6,0.0,0.4,2018
13047,33,10,33,130,3.9393939393939394,0.0,0.24242424242424243,2025
13049,6,1,6,17,2.8333333333333335,0.0,0.16666666666666666,2024
13051,448,19,492,1212,2.4634146341463414,0.034552845528455285,0.46747967479674796,2025
13055,3,0,3,6,2.0,0.0,0.3333333333333333,2022
13057,4,1,4,10,2.5,0.0,0.25,2021
13059,7,0,7,14,2.0,0.0,0.42857142857142855,2024
13063,27,2,27,84,3.111111111111111,0.0,0.25925925925925924,2025
13067,131,21,150,450,3.0,0.12666666666666668,0.4666666666666667,2025
13069,9,1,9,25,2.7777777777777777,0.0,0.4444444444444444,2024
13071,6,1,6,18,3.0,0.0,0.3333333333333333,2024
13073,10,2,10,41,4.1,0.0,0.9,2024
13077,4,1,4,11,2.75,0.0,0.5,2022
13081,14,3,15,32,2.1333333333333333,0.0,0.7333333333333333,2024
13083,1,0,1,2,2.0,0.0,0.0,2004
13087,20,0,23,54,2.347826086956522,0.043478260869565216,0.13043478260869565,2021
13089,156,13,167,499,2.9880239520958085,0.041916167664670656,0.46107784431137727,2025
13093,1,0,3,8,2.6666666666666665,0.3333333333333333,0.0,2024
13095,90,16,96,227,2.3645833333333335,0.020833333333333332,0.3125,2024
13097,2,0,12,37,3.0833333333333335,0.5833333333333334,0.0,2009
13099,3,1,3,9,3.0,0.0,0.3333333333333333,2024
13103,2,0,2,5,2.5,0.0,1.0,2024
13105,1,0,1,3,3.0,0.0,0.0,1983
13109,1,0,1,2,2.0,0.0,1.0,2024
13111,10,1,10,29,2.9,0.0,0.5,2025
13113,12,1,12,39,3.25,0.0,0.5,2024
13115,43,3,43,125,2.9069767441860463,0.0,0.32558139534883723,2022
13117,5,0,5,11,2.2,0.0,0.2,2020
13121,329,67,354,1292,3.6497175141242937,0.09887005649717515,0.5028248587570622,2025
13123,21,2,21,50,2.380952380952381,0.0,0.5238095238095238,2021
13127,153,12,158,397,2.5126582278481013,0.0,0.6012658227848101,2024
13129,8,1,8,20,2.5,0.0,0.375,2024
13131,1,0,1,4,4.0,0.0,0.0,2000
13135,31,3,35,98,2.8,0.0,0.45714285714285713,2024
13137,1,0,1,2,2.0,0.0,0.0,2020
13139,4,0,4,9,2.25,0.0,0.0,2020
13145,1,0,1,2,2.0,0.0,0.0,2018
