Issuer_Name,State_Abb,Jurisdiction_Type,Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,lat,lng,formatted_address,place_id,location_type,geo_source,match_method
New York State Energy Research & Development Authority,NY,STATE,Development corporation,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
New York State Environmental Facilities Corp,NY,STATE,State agency,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
New York State Housing Finance Agency,NY,STATE,Financing authority,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
New York State Thruway Authority,NY,STATE,State agency,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
New York Transportation Development Corp,NY,STATE,Development corporation,New York,State of New York,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
Nicholas County School District Finance Corp,KY,SCHOOL_DISTRICT,School district,Nicholas County,Nicholas County,38.37676250000001,-84.05902900000001,"Nicholas County School District, KY, USA",ChIJS0LCXarcQ4gR10eELhXu3uE,APPROXIMATE,GoogleGeocodingAPI,EXACT_ISSUER
North Dakota Public Finance Authority,ND,STATE,Financing authority,North Dakota,State of North Dakota,47.5514926,-101.0020119,"North Dakota, USA",ChIJY-nYVxKD11IRyc9egzmahA0,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
North Kansas City School District No 74,MO,SCHOOL_DISTRICT,School district,North Kansas City,North Kansas City,39.2115699,-94.5418141,"North Kansas City 74 School District, MO, USA",ChIJMwcBrV34wIcR_eVBa_ql2AQ,APPROXIMATE,GoogleGeocodingAPI,FUZZY_ISSUER
North Mission Glen Municipal Utility District/TX,TX,SPECIAL_DISTRICT,Special district,North Mission Glen,North Mission Glen,29.7315934,-95.431315,"3 E Greenway Plaza # 2000, Houston, TX 77046, USA",ChIJeaLtbfzAQIYR3gqi0lFM4Xw,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
North Muskegon Public Schools,MI,SCHOOL_DISTRICT,School district,North Muskegon,North Muskegon,43.254394,-86.2717231,"North Muskegon Public Schools, MI 49445, USA",ChIJ5VRUa5bXG4gRqZE-qUj2Gxw,APPROXIMATE,GoogleGeocodingAPI,EXACT_ISSUER
