FIPS,City,State,Year,applicable_election_year,county_fips_int,pres_dem_two_party_share,pres_dem_vote_share,pres_rep_vote_share,pres_dem_votes,pres_rep_votes,pres_total_votes
2915670,columbia,MO,2019,2016,29019,0.5318461041060459,0.4903538894453188,0.43163065770019554,41125.0,36200.0,83868
2915670,columbia,MO,2020,2016,29019,0.5318461041060459,0.4903538894453188,0.43163065770019554,41125.0,36200.0,83868
2915670,columbia,MO,2021,2020,29019,0.5643557659790328,0.5491400491400491,0.4238987363987364,50064.0,38646.0,91168
2915670,columbia,MO,2022,2020,29019,0.5643557659790328,0.5491400491400491,0.4238987363987364,50064.0,38646.0,91168
2915670,columbia,MO,2023,2020,29019,0.5643557659790328,0.5491400491400491,0.4238987363987364,50064.0,38646.0,91168
2915670,columbia,MO,2024,2020,29019,0.5643557659790328,0.5491400491400491,0.4238987363987364,50064.0,38646.0,91168
2915670,columbia,MO,2025,2024,29019,0.5498099290780142,0.537698368660526,0.44027299966707356,48452.0,39673.0,90110
2924778,florissant,MO,2013,2012,29189,0.5693269380019508,0.5619642276176713,0.4251034660169934,297097.0,224742.0,528676
2924778,florissant,MO,2014,2012,29189,0.5693269380019508,0.5619642276176713,0.4251034660169934,297097.0,224742.0,528676
2924778,florissant,MO,2015,2012,29189,0.5693269380019508,0.5619642276176713,0.4251034660169934,297097.0,224742.0,528676
2924778,florissant,MO,2016,2012,29189,0.5693269380019508,0.5619642276176713,0.4251034660169934,297097.0,224742.0,528676
2924778,florissant,MO,2017,2016,29189,0.586141334347362,0.556860338190336,0.3931841400929965,286704.0,202434.0,514858
2924778,florissant,MO,2018,2016,29189,0.586141334347362,0.556860338190336,0.3931841400929965,286704.0,202434.0,514858
2924778,florissant,MO,2019,2016,29189,0.586141334347362,0.556860338190336,0.3931841400929965,286704.0,202434.0,514858
2924778,florissant,MO,2020,2016,29189,0.586141334347362,0.556860338190336,0.3931841400929965,286704.0,202434.0,514858
2924778,florissant,MO,2021,2020,29189,0.6219174291757321,0.6117130149166925,0.37187899620837883,328151.0,199493.0,536446
2924778,florissant,MO,2022,2020,29189,0.6219174291757321,0.6117130149166925,0.37187899620837883,328151.0,199493.0,536446
2924778,florissant,MO,2023,2020,29189,0.6219174291757321,0.6117130149166925,0.37187899620837883,328151.0,199493.0,536446
2924778,florissant,MO,2024,2020,29189,0.6219174291757321,0.6117130149166925,0.37187899620837883,328151.0,199493.0,536446
2924778,florissant,MO,2025,2024,29189,0.6191743801368267,0.6079409155464676,0.37391643360955407,305635.0,187982.0,502738
2935000,independence,MO,2013,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2935000,independence,MO,2014,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2935000,independence,MO,2015,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2935000,independence,MO,2016,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2935000,independence,MO,2017,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2935000,independence,MO,2018,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2935000,independence,MO,2019,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2935000,independence,MO,2020,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2935000,independence,MO,2021,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2935000,independence,MO,2022,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2935000,independence,MO,2023,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2935000,independence,MO,2024,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2935000,independence,MO,2025,2024,29095,0.4789804509543856,0.471617568871981,0.5130104424221464,91366.0,99385.0,193729
2938000,kansas city,MO,2013,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2938000,kansas city,MO,2014,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2938000,kansas city,MO,2015,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2938000,kansas city,MO,2016,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2938000,kansas city,MO,2017,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2938000,kansas city,MO,2018,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2938000,kansas city,MO,2019,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2938000,kansas city,MO,2020,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2938000,kansas city,MO,2021,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2938000,kansas city,MO,2022,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2938000,kansas city,MO,2023,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2938000,kansas city,MO,2024,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2938000,kansas city,MO,2025,2024,29095,0.4789804509543856,0.471617568871981,0.5130104424221464,91366.0,99385.0,193729
2941348,lee's summit,MO,2013,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2941348,lee's summit,MO,2014,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2941348,lee's summit,MO,2015,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2941348,lee's summit,MO,2016,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2941348,lee's summit,MO,2017,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2941348,lee's summit,MO,2018,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2941348,lee's summit,MO,2019,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2941348,lee's summit,MO,2020,2016,29095,0.43758983746329716,0.41112105035348434,0.5283912855287837,71237.0,91557.0,173275
2941348,lee's summit,MO,2021,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2941348,lee's summit,MO,2022,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2941348,lee's summit,MO,2023,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2941348,lee's summit,MO,2024,2020,29095,0.47930575487198684,0.4693154395218361,0.509841256911281,92182.0,100142.0,196418
2941348,lee's summit,MO,2025,2024,29095,0.4789804509543856,0.471617568871981,0.5130104424221464,91366.0,99385.0,193729
2970000,springfield,MO,2013,2012,29077,0.3754010347712376,0.36726050473587185,0.6110546055559087,46219.0,76900.0,125848
2970000,springfield,MO,2014,2012,29077,0.3754010347712376,0.36726050473587185,0.6110546055559087,46219.0,76900.0,125848
2970000,springfield,MO,2015,2012,29077,0.3754010347712376,0.36726050473587185,0.6110546055559087,46219.0,76900.0,125848
2970000,springfield,MO,2016,2012,29077,0.3754010347712376,0.36726050473587185,0.6110546055559087,46219.0,76900.0,125848
2970000,springfield,MO,2017,2016,29077,0.353816980366503,0.330632742917721,0.6038411836169341,42728.0,78035.0,129231
2970000,springfield,MO,2018,2016,29077,0.353816980366503,0.330632742917721,0.6038411836169341,42728.0,78035.0,129231
2970000,springfield,MO,2019,2016,29077,0.353816980366503,0.330632742917721,0.6038411836169341,42728.0,78035.0,129231
2970000,springfield,MO,2020,2016,29077,0.353816980366503,0.330632742917721,0.6038411836169341,42728.0,78035.0,129231
2970000,springfield,MO,2021,2020,29077,0.397035285296111,0.38834978843441464,0.5897743300423132,55068.0,83630.0,141800
2970000,springfield,MO,2022,2020,29077,0.397035285296111,0.38834978843441464,0.5897743300423132,55068.0,83630.0,141800
2970000,springfield,MO,2023,2020,29077,0.397035285296111,0.38834978843441464,0.5897743300423132,55068.0,83630.0,141800
2970000,springfield,MO,2024,2020,29077,0.397035285296111,0.38834978843441464,0.5897743300423132,55068.0,83630.0,141800
2970000,springfield,MO,2025,2024,29077,0.3943647086178106,0.3885876545609809,0.5967633316439526,55971.0,85956.0,144037
2964082,st. charles,MO,2013,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2964082,st. charles,MO,2014,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2964082,st. charles,MO,2015,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2964082,st. charles,MO,2016,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2964082,st. charles,MO,2017,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2964082,st. charles,MO,2018,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2964082,st. charles,MO,2019,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2964082,st. charles,MO,2020,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2964082,st. charles,MO,2021,2020,29183,0.4108407252235923,0.4032574082164879,0.578284545778026,89530.0,128389.0,222017
2964082,st. charles,MO,2022,2020,29183,0.4108407252235923,0.4032574082164879,0.578284545778026,89530.0,128389.0,222017
2964082,st. charles,MO,2023,2020,29183,0.4108407252235923,0.4032574082164879,0.578284545778026,89530.0,128389.0,222017
2964082,st. charles,MO,2024,2020,29183,0.4108407252235923,0.4032574082164879,0.578284545778026,89530.0,128389.0,222017
2964082,st. charles,MO,2025,2024,29183,0.4139147450339745,0.4077801261020666,0.5773989016916778,92226.0,130588.0,226166
2964550,st. joseph,MO,2013,2012,29021,0.4552461026449466,0.4441975730644334,0.5315330712698684,15594.0,18660.0,35106
2964550,st. joseph,MO,2014,2012,29021,0.4552461026449466,0.4441975730644334,0.5315330712698684,15594.0,18660.0,35106
2964550,st. joseph,MO,2015,2012,29021,0.4552461026449466,0.4441975730644334,0.5315330712698684,15594.0,18660.0,35106
2964550,st. joseph,MO,2016,2012,29021,0.4552461026449466,0.4441975730644334,0.5315330712698684,15594.0,18660.0,35106
2964550,st. joseph,MO,2017,2016,29021,0.36039360393603936,0.3368854987520682,0.5978855267954793,12013.0,21320.0,35659
2964550,st. joseph,MO,2018,2016,29021,0.36039360393603936,0.3368854987520682,0.5978855267954793,12013.0,21320.0,35659
2964550,st. joseph,MO,2019,2016,29021,0.36039360393603936,0.3368854987520682,0.5978855267954793,12013.0,21320.0,35659
2964550,st. joseph,MO,2020,2016,29021,0.36039360393603936,0.3368854987520682,0.5978855267954793,12013.0,21320.0,35659
2964550,st. joseph,MO,2021,2020,29021,0.3745647026048196,0.3673698016285043,0.6134214984425378,13445.0,22450.0,36598
2964550,st. joseph,MO,2022,2020,29021,0.3745647026048196,0.3673698016285043,0.6134214984425378,13445.0,22450.0,36598
2964550,st. joseph,MO,2023,2020,29021,0.3745647026048196,0.3673698016285043,0.6134214984425378,13445.0,22450.0,36598
2964550,st. joseph,MO,2024,2020,29021,0.3745647026048196,0.3673698016285043,0.6134214984425378,13445.0,22450.0,36598
2964550,st. joseph,MO,2025,2024,29021,0.3578570616975344,0.3524606216601852,0.6324595025599418,12598.0,22606.0,35743
2965000,st. louis,MO,2013,2012,29510,0.8381137853418288,0.8271184552285056,0.15976240712500087,118780.0,22943.0,143607
2965000,st. louis,MO,2014,2012,29510,0.8381137853418288,0.8271184552285056,0.15976240712500087,118780.0,22943.0,143607
2965000,st. louis,MO,2015,2012,29510,0.8381137853418288,0.8271184552285056,0.15976240712500087,118780.0,22943.0,143607
2965000,st. louis,MO,2016,2012,29510,0.8381137853418288,0.8271184552285056,0.15976240712500087,118780.0,22943.0,143607
2965000,st. louis,MO,2017,2016,29510,0.8334332797620475,0.794528588089122,0.15879138050628472,104235.0,20832.0,131191
2965000,st. louis,MO,2018,2016,29510,0.8334332797620475,0.794528588089122,0.15879138050628472,104235.0,20832.0,131191
2965000,st. louis,MO,2019,2016,29510,0.8334332797620475,0.794528588089122,0.15879138050628472,104235.0,20832.0,131191
2965000,st. louis,MO,2020,2016,29510,0.8334332797620475,0.794528588089122,0.15879138050628472,104235.0,20832.0,131191
2965000,st. louis,MO,2021,2020,29510,0.8367778174714775,0.8223759402989534,0.16041294717891638,110089.0,21474.0,133867
2965000,st. louis,MO,2022,2020,29510,0.8367778174714775,0.8223759402989534,0.16041294717891638,110089.0,21474.0,133867
2965000,st. louis,MO,2023,2020,29510,0.8367778174714775,0.8223759402989534,0.16041294717891638,110089.0,21474.0,133867
2965000,st. louis,MO,2024,2020,29510,0.8367778174714775,0.8223759402989534,0.16041294717891638,110089.0,21474.0,133867
2965000,st. louis,MO,2025,2024,29510,0.8300351493848858,0.8123951802255076,0.1663527448804947,94458.0,19342.0,116271
2965126,st. peters,MO,2013,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2965126,st. peters,MO,2014,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2965126,st. peters,MO,2015,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2965126,st. peters,MO,2016,2012,29183,0.39336991162072477,0.38687059076956215,0.5966072486402068,71838.0,110784.0,185690
2965126,st. peters,MO,2017,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2965126,st. peters,MO,2018,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2965126,st. peters,MO,2019,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2965126,st. peters,MO,2020,2016,29183,0.3606655595030377,0.34141439267679907,0.6052088256511032,68626.0,121650.0,201005
2965126,st. peters,MO,2021,2020,29183,0.4108407252235923,0.4032574082164879,0.578284545778026,89530.0,128389.0,222017
2965126,st. peters,MO,2022,2020,29183,0.4108407252235923,0.4032574082164879,0.578284545778026,89530.0,128389.0,222017
2965126,st. peters,MO,2023,2020,29183,0.4108407252235923,0.4032574082164879,0.578284545778026,89530.0,128389.0,222017
