Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_search
Indianapolis Local Public Improvement Bond Bank,2022-03-31,28,Yes,65000000,45527CBU5,45527CBU5;45527CBV3;45527CBW1;45527CBX9;45527CBY7;45527CBZ4;45527CCA8;45527CCB6;45527CCC4;45527CCD2;45527CCE0;45527CCF7;45527CCG5;45527CCH3;45527CCJ9;45527CCK6;45527CCL4;45527CCM2;45527CCN0;45527CCP5;45527CCQ3;45527CCR1;45527CCT7;45527CCU4;45527CCV2;45527CCW0;45527CCY6;45527CCZ3,https://emma.msrb.org/Search/Search.aspx?criteria=45527CBU5
Lancaster Power Authority,2021-04-01,1,Yes,1875000,513793BE8,513793BE8,https://emma.msrb.org/Search/Search.aspx?criteria=513793BE8
Lancaster Power Authority,2021-10-12,15,No,17430000,513793AP4,513793AP4;513793AQ2;513793AR0;513793AS8;513793AT6;513793AU3;513793AV1;513793AW9;513793AX7;513793AY5;513793AZ2;513793BA6;513793BB4;513793BC2;513793BD0,https://emma.msrb.org/Search/Search.aspx?criteria=513793AP4
Metropolitan Pier & Exposition Authority,2019-05-08,20,No,36865000,59225CAA6,59225CAA6;59225CAB4;59225CAC2;59225CAD0;59225CAE8;59225CAF5;59225CAG3;59225CAH1;59225CAJ7;59225CAK4;59225CAL2;59225CAM0;59225CAN8;59225CAP3;59225CAQ1;59225CAR9;59225CAS7;59225CAT5;59225CAU2;59225CAV0,https://emma.msrb.org/Search/Search.aspx?criteria=59225CAA6
Metropolitan Pier & Exposition Authority,2024-01-10,3,No,42830000,59225CAW8,59225CAW8;59225CAX6;59225CAY4,https://emma.msrb.org/Search/Search.aspx?criteria=59225CAW8
San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,13,Yes,32025000,79771KAA4,79771KAA4;79771KAB2;79771KAC0;79771KAD8;79771KAE6;79771KAF3;79771KAG1;79771KAH9;79771KAJ5;79771KAK2;79771KAL0;79771KAM8;79771KAN6,https://emma.msrb.org/Search/Search.aspx?criteria=79771KAA4
San Francisco City & County Public Utilities Commission Power Revenue,2021-12-21,24,Yes,74280000,79771KAZ9,79771KAZ9;79771KBA3;79771KBB1;79771KBC9;79771KBD7;79771KBE5;79771KBF2;79771KBG0;79771KBH8;79771KBJ4;79771KBK1;79771KBL9;79771KBM7;79771KBN5;79771KBP0;79771KBQ8;79771KBR6;79771KBS4;79771KBT2;79771KBU9;79771KBV7;79771KBW5;79771KBX3;79771KCC8,https://emma.msrb.org/Search/Search.aspx?criteria=79771KAZ9
San Francisco City & County Public Utilities Commission Wastewater Revenue,2023-04-19,18,Yes,696225000,79768HGV4,79768HGV4;79768HGW2;79768HGX0;79768HGY8;79768HGZ5;79768HHA9;79768HHB7;79768HHC5;79768HHD3;79768HHE1;79768HHF8;79768HHG6;79768HHH4;79768HHJ0;79768HHK7;79768HHL5;79768HHM3;79768HHN1,https://emma.msrb.org/Search/Search.aspx?criteria=79768HGV4
St Louis Clean Energy Development Board,2017-09-21,1,No,10105000,791642AA9,791642AA9,https://emma.msrb.org/Search/Search.aspx?criteria=791642AA9
St Louis Clean Energy Development Board,2018-06-22,1,No,2638000,791642AC5,791642AC5,https://emma.msrb.org/Search/Search.aspx?criteria=791642AC5
St Louis Municipal Finance Corp,2016-05-04,1,No,3635000,79165TRS2,79165TRS2,https://emma.msrb.org/Search/Search.aspx?criteria=79165TRS2
Stockton Public Financing Authority,2024-09-04,5,No,28085000,86139QAT2,86139QAT2;86139QAU9;86139QAV7;86139QAW5;86139QAX3,https://emma.msrb.org/Search/Search.aspx?criteria=86139QAT2
