Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_security_details,emma_search,google_site_search
City of Fort Wayne IN Sewage Works Revenue,2022-05-25,24,Yes,25000000,349298SR1,349298SR1;349298SS9;349298ST7;349298SU4;349298SV2;349298SW0;349298SX8;349298SY6;349298SZ3;349298TA7;349298TB5;349298TD1;349298TF6;349298TH2;349298TK5;349298TN9;349298TQ2;349298TS8;349298TT6;349298TU3;349298TV1;349298TW9;349298TX7;349298TY5,https://emma.msrb.org/Security/Details/349298SR1,https://emma.msrb.org/Search/Search.aspx?criteria=349298SR1,https://www.google.com/search?q=site%3Aemma.msrb.org%20349298SR1%20%22Official%20Statement%22
City of Gresham OR,2013-07-30,10,No,3730000,397730RA2,397730RA2;397730RB0;397730RC8;397730RD6;397730RE4;397730RF1;397730RG9;397730RH7;397730RJ3;397730RK0,https://emma.msrb.org/Security/Details/397730RA2,https://emma.msrb.org/Search/Search.aspx?criteria=397730RA2,https://www.google.com/search?q=site%3Aemma.msrb.org%20397730RA2%20%22Official%20Statement%22
City of Hampton VA,2020-12-02,20,Yes,10725000,4095587K3,4095587K3;4095587L1;4095587M9;4095587N7;4095587P2;4095587Q0;4095587R8;4095587S6;4095587T4;4095587U1;4095587V9;4095587W7;4095587X5;4095587Y3;4095587Z0;4095588A4;4095588B2;4095588C0;4095588D8;4095588E6,https://emma.msrb.org/Security/Details/4095587K3,https://emma.msrb.org/Search/Search.aspx?criteria=4095587K3,https://www.google.com/search?q=site%3Aemma.msrb.org%204095587K3%20%22Official%20Statement%22
City of Joliet IL Waterworks & Sewerage Revenue,2025-02-04,8,Yes,45455000,479790KK2,479790KK2;479790KL0;479790KN6;479790KQ9;479790KR7;479790KU0;479790KV8;479790KW6,https://emma.msrb.org/Security/Details/479790KK2,https://emma.msrb.org/Search/Search.aspx?criteria=479790KK2,https://www.google.com/search?q=site%3Aemma.msrb.org%20479790KK2%20%22Official%20Statement%22
City of Joliet IL Waterworks & Sewerage Revenue,2025-04-12,4,Yes,22070000,479790KM8,479790KM8;479790KP1;479790KS5;479790KT3,https://emma.msrb.org/Security/Details/479790KM8,https://emma.msrb.org/Search/Search.aspx?criteria=479790KM8,https://www.google.com/search?q=site%3Aemma.msrb.org%20479790KM8%20%22Official%20Statement%22
City of Little Rock AR Water Reclamation System Revenue,2020-12-03,13,Yes,22850000,53746QAV2,53746QAV2;53746QAW0;53746QAX8;53746QAY6;53746QAZ3;53746QBA7;53746QBB5;53746QBC3;53746QBD1;53746QBE9;53746QBF6;53746QBG4;53746QBH2,https://emma.msrb.org/Security/Details/53746QAV2,https://emma.msrb.org/Search/Search.aspx?criteria=53746QAV2,https://www.google.com/search?q=site%3Aemma.msrb.org%2053746QAV2%20%22Official%20Statement%22
City of Los Angeles CA Wastewater System Revenue,2015-06-30,8,Yes,37845000,53945CCZ1,53945CCZ1;53945CDA5;53945CDB3;53945CDC1;53945CDD9;53945CDE7;53945CDF4;53945CDG2,https://emma.msrb.org/Security/Details/53945CCZ1,https://emma.msrb.org/Search/Search.aspx?criteria=53945CCZ1,https://www.google.com/search?q=site%3Aemma.msrb.org%2053945CCZ1%20%22Official%20Statement%22
City of Los Angeles CA Wastewater System Revenue,2017-05-24,41,Yes,286925000,53945CFQ8,53945CFQ8;53945CFR6;53945CFS4;53945CFT2;53945CFU9;53945CFV7;53945CFW5;53945CFX3;53945CFY1;53945CFZ8;53945CGA2;53945CGB0;53945CGC8;53945CGD6;53945CGE4;53945CGF1;53945CGG9;53945CGH7;53945CGJ3;53945CGK0;53945CGL8;53945CGM6;53945CGN4;53945CGP9;53945CGQ7;53945CGR5;53945CGU8;53945CGV6;53945CGW4;53945CGX2;53945CGY0;53945CGZ7;53945CHA1;53945CHB9;53945CHC7;53945CHD5;53945CHE3;53945CHF0;53945CHG8;53945CHH6;53945CHJ2,https://emma.msrb.org/Security/Details/53945CFQ8,https://emma.msrb.org/Search/Search.aspx?criteria=53945CFQ8,https://www.google.com/search?q=site%3Aemma.msrb.org%2053945CFQ8%20%22Official%20Statement%22
City of Los Angeles CA Wastewater System Revenue,2018-11-15,19,Yes,94310000,53945CJC5,53945CJC5;53945CJD3;53945CJE1;53945CJF8;53945CJG6;53945CJH4;53945CJJ0;53945CJK7;53945CJL5;53945CJM3;53945CJN1;53945CJP6;53945CJQ4;53945CJR2;53945CJS0;53945CJT8;53945CJU5;53945CJV3;53945CJW1,https://emma.msrb.org/Security/Details/53945CJC5,https://emma.msrb.org/Search/Search.aspx?criteria=53945CJC5,https://www.google.com/search?q=site%3Aemma.msrb.org%2053945CJC5%20%22Official%20Statement%22
City of Los Angeles CA Wastewater System Revenue,2022-04-19,2,Yes,12875000,53945CKV1,53945CKV1;53945CKW9,https://emma.msrb.org/Security/Details/53945CKV1,https://emma.msrb.org/Search/Search.aspx?criteria=53945CKV1,https://www.google.com/search?q=site%3Aemma.msrb.org%2053945CKV1%20%22Official%20Statement%22
