CUSIP,Issuer_Name,City,Issue_Date,Amt_Issued,Self_reported_Green,ESG_Assurance_Providers,covered,n_prospectus_matches,prospectus_filenames
094780V42,City of Bloomington MN,Bloomington,2018-12-05,470000.0,Yes,No,False,0,
094780V59,City of Bloomington MN,Bloomington,2018-12-05,555000.0,Yes,No,False,0,
094780V67,City of Bloomington MN,Bloomington,2018-12-05,580000.0,Yes,No,False,0,
094780V75,City of Bloomington MN,Bloomington,2018-12-05,610000.0,Yes,No,False,0,
094780V83,City of Bloomington MN,Bloomington,2018-12-05,635000.0,Yes,No,False,0,
094780V91,City of Bloomington MN,Bloomington,2018-12-05,665000.0,Yes,No,False,0,
094780W25,City of Bloomington MN,Bloomington,2018-12-05,690000.0,Yes,No,False,0,
094780W33,City of Bloomington MN,Bloomington,2018-12-05,725000.0,Yes,No,False,0,
094780W41,City of Bloomington MN,Bloomington,2018-12-05,755000.0,Yes,No,False,0,
094780W58,City of Bloomington MN,Bloomington,2018-12-05,790000.0,Yes,No,False,0,
094780W66,City of Bloomington MN,Bloomington,2018-12-05,810000.0,Yes,No,False,0,
094780W74,City of Bloomington MN,Bloomington,2018-12-05,835000.0,Yes,No,False,0,
094780W82,City of Bloomington MN,Bloomington,2018-12-05,865000.0,Yes,No,False,0,
094780W90,City of Bloomington MN,Bloomington,2018-12-05,895000.0,Yes,No,False,0,
094780X24,City of Bloomington MN,Bloomington,2018-12-05,925000.0,Yes,No,False,0,
09747AAA4,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,390000.0,--,No,False,0,
09747AAB2,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,420000.0,--,No,False,0,
09747AAC0,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,445000.0,--,No,False,0,
09747AAD8,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,2365000.0,--,No,False,0,
09747AAE6,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,2480000.0,--,No,False,0,
09747AAF3,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,2605000.0,--,No,False,0,
09747AAG1,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,2735000.0,--,No,False,0,
09747AAH9,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,2870000.0,--,No,False,0,
09747AAJ5,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,3015000.0,--,No,False,0,
09747AAK2,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,3135000.0,--,No,False,0,
09747AAL0,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,3265000.0,--,No,False,0,
09747AAM8,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,3400000.0,--,No,False,0,
09747AAN6,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,3545000.0,--,No,False,0,
09747AAP1,City of Boise City ID Water Renewal Revenue,Boise,2022-06-30,3695000.0,--,No,False,0,
10146HMC7,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2190000.0,--,No,False,0,
10146HMD5,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1280000.0,--,No,False,0,
10146HME3,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1345000.0,--,No,False,0,
10146HMF0,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1415000.0,--,No,False,0,
10146HMG8,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1485000.0,--,No,False,0,
10146HMH6,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1560000.0,--,No,False,0,
10146HMJ2,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1635000.0,--,No,False,0,
10146HMK9,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1720000.0,--,No,False,0,
10146HML7,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1805000.0,--,No,False,0,
10146HMM5,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1895000.0,--,No,False,0,
10146HMN3,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,1990000.0,--,No,False,0,
10146HMP8,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2090000.0,--,No,False,0,
10146HMQ6,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2195000.0,--,No,False,0,
10146HMR4,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2305000.0,--,No,False,0,
10146HMS2,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2420000.0,--,No,False,0,
10146HMT0,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2540000.0,--,No,False,0,
10146HMU7,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2640000.0,--,No,False,0,
10146HMV5,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2740000.0,--,No,False,0,
10146HMW3,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2850000.0,--,No,False,0,
10146HMX1,City of Boulder CO Water & Sewer Revenue,Boulder,2022-06-01,2960000.0,--,No,False,0,
119732AT2,Buffalo Sewer Authority,Buffalo,2021-06-16,,Yes,Yes,False,0,
17132EBEG3,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,40000.0,--,No,False,0,
17132EBF0,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,50000.0,--,No,False,0,
17132EBG8,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,65000.0,--,No,False,0,
17132EBH6,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,105000.0,--,No,False,0,
17132EBJ2,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,125000.0,--,No,False,0,
17132EBK9,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,145000.0,--,No,False,0,
17132EBL7,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,165000.0,--,No,False,0,
17132EBM5,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,185000.0,--,No,False,0,
17132EBN3,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,315000.0,--,No,False,0,
17132EBP8,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,1125000.0,--,No,False,0,
17132EBQ6,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,2350000.0,--,No,False,0,
17132EBS2,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,5300000.0,--,No,False,0,
17132EBT0,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,105000.0,--,No,False,0,
17132EBU7,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,105000.0,--,No,False,0,
17132EBV5,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,105000.0,--,No,False,0,
17132EBW3,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,110000.0,--,No,False,0,
17132EBX1,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,110000.0,--,No,False,0,
17132EBY9,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,110000.0,--,No,False,0,
17132EBZ6,Chula Vista Municipal Financing Authority,Chula Vista,2017-12-21,110000.0,--,No,False,0,
