year,fips7,city_name,state_dem_governor,state_dem_legislature,state_dem_trifecta,state_govt_trifecta,state_legis_control,state_rep_trifecta
2020,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2021,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2022,465000,scottsdale,0.0,0.0,0.0,Rep,Rep,1.0
2023,465000,scottsdale,1.0,0.0,0.0,Divided,Rep,0.0
2013,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2014,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2015,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2016,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2017,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2018,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2019,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2020,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2021,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2022,471510,surprise,0.0,0.0,0.0,Rep,Rep,1.0
2023,471510,surprise,1.0,0.0,0.0,Divided,Rep,0.0
2013,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2014,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2015,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2016,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2017,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2018,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2019,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2020,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2021,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2022,473000,tempe,0.0,0.0,0.0,Rep,Rep,1.0
2023,473000,tempe,1.0,0.0,0.0,Divided,Rep,0.0
2013,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2014,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2015,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2016,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2017,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2018,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2019,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2020,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2021,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2022,477000,tucson,0.0,0.0,0.0,Rep,Rep,1.0
2023,477000,tucson,1.0,0.0,0.0,Divided,Rep,0.0
2013,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2014,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2015,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2016,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2017,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2018,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2019,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2020,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2021,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2022,485540,yuma,0.0,0.0,0.0,Rep,Rep,1.0
2023,485540,yuma,1.0,0.0,0.0,Divided,Rep,0.0
2013,523290,fayetteville,1.0,0.0,0.0,Divided,Rep,0.0
2014,523290,fayetteville,1.0,0.0,0.0,Divided,Rep,0.0
2015,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2016,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2017,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2018,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2019,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2020,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2021,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2022,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2023,523290,fayetteville,0.0,0.0,0.0,Rep,Rep,1.0
2017,535710,jonesboro,0.0,0.0,0.0,Rep,Rep,1.0
2018,535710,jonesboro,0.0,0.0,0.0,Rep,Rep,1.0
2019,535710,jonesboro,0.0,0.0,0.0,Rep,Rep,1.0
2020,535710,jonesboro,0.0,0.0,0.0,Rep,Rep,1.0
2021,535710,jonesboro,0.0,0.0,0.0,Rep,Rep,1.0
2022,535710,jonesboro,0.0,0.0,0.0,Rep,Rep,1.0
2023,535710,jonesboro,0.0,0.0,0.0,Rep,Rep,1.0
2013,541000,little rock,1.0,0.0,0.0,Divided,Rep,0.0
2014,541000,little rock,1.0,0.0,0.0,Divided,Rep,0.0
2015,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2016,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2017,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2018,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2019,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2020,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2021,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2022,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2023,541000,little rock,0.0,0.0,0.0,Rep,Rep,1.0
2013,550450,north little rock,1.0,0.0,0.0,Divided,Rep,0.0
2014,550450,north little rock,1.0,0.0,0.0,Divided,Rep,0.0
2015,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2016,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2017,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2018,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2019,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2020,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2021,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2022,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2023,550450,north little rock,0.0,0.0,0.0,Rep,Rep,1.0
2013,560410,rogers,1.0,0.0,0.0,Divided,Rep,0.0
2014,560410,rogers,1.0,0.0,0.0,Divided,Rep,0.0
2015,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2016,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2017,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2018,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2019,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2020,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2021,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2022,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
