fips7,lat,lng,source
3436000,40.7195342,-74.0430133,bloomberg_issuer
640130,34.6991411,-118.1453724,bloomberg_issuer
2146027,38.0447166,-84.4955823,bloomberg_issuer
2148000,38.2542376,-85.759407,bloomberg_issuer
648914,34.0590361,-118.1256391,bloomberg_issuer
654652,34.2000926,-119.1801994,bloomberg_issuer
4260000,39.9528,-75.1634833,bloomberg_issuer
668000,37.3372,-121.8863,bloomberg_issuer
668364,37.974781,-122.5317622,bloomberg_issuer
4819000,32.7762719,-96.7968559,bloomberg_issuer
2965000,38.626704,-90.1990425,bloomberg_issuer
675000,37.956995,-121.2916822,bloomberg_issuer
677000,37.3716117,-122.0372694,bloomberg_issuer
686328,38.678482,-121.7733922,bloomberg_issuer
803455,39.8005505,-105.0811573,bloomberg_issuer
4513330,32.792293,-79.9408832,bloomberg_issuer
1825000,41.0158282,-85.1198334,bloomberg_issuer
1738570,41.5263603,-88.0840212,bloomberg_issuer
2052575,38.887673,-94.8355516,bloomberg_issuer
2684000,42.4932575,-83.0062746,bloomberg_issuer
883835,39.8617247,-105.0802494,bloomberg_issuer
427400,33.3527632,-111.789037,bloomberg_issuer
4263624,40.335345,-75.9279495,bloomberg_issuer
1754820,41.7108662,-87.7581081,bloomberg_issuer
1225175,29.6519684,-82.3249846,bloomberg_issuer
107000,33.5206824,-86.8024326,nominatim
120104,34.6060203,-86.9838165,nominatim
121184,31.2237285,-85.3934375,nominatim
137000,34.729847,-86.5859011,nominatim
150000,30.6913462,-88.0437509,nominatim
151000,32.3777111,-86.3090775,nominatim
177256,33.2095614,-87.5675258,nominatim
203000,61.2163129,-149.894852,nominatim
404720,33.4355977,-112.349602,nominatim
412000,33.3062031,-111.841185,nominatim
423620,35.1987522,-111.651822,nominatim
427820,33.5386858,-112.185994,nominatim
439370,34.4775296,-114.3379972,nominatim
446000,33.4151005,-111.831455,nominatim
454050,33.5806115,-112.237294,nominatim
455000,33.4484367,-112.074141,nominatim
465000,33.4942189,-111.926018,nominatim
471510,33.629247,-112.3681428,nominatim
473000,33.4255117,-111.940016,nominatim
477000,32.2228765,-110.974847,nominatim
523290,36.0625843,-94.1574328,nominatim
535710,35.8348088,-90.7045297,nominatim
550450,34.769536,-92.2670941,nominatim
560410,36.334857,-94.1193816,nominatim
600562,37.6090291,-121.899142,nominatim
602000,33.8347516,-117.911732,nominatim
602252,38.0093296,-121.8106925,nominatim
603526,35.3738712,-119.019463,nominatim
603666,34.0854739,-117.9611761,nominatim
611194,33.1580933,-117.3505966,nominatim
611530,33.8322043,-118.2517547,nominatim
612048,33.7810031,-116.464076,nominatim
