CUSIP,Issuer_Name,Issue_Date,primary_prospectus,bloomberg_self_reported_green,bloomberg_industry,federally_compelled,state_compelled_substantive,state_legal_compelled,voter_compelled,n_state_compulsion_hits,kw_calgreen,kw_title_24,kw_energy_code,kw_leed_required,kw_energy_star,kw_ashrae,kw_sb_32,kw_ab_32,kw_cap_and_trade,kw_state_ghg_target,kw_rps,kw_renewable_mandate,kw_clean_energy_mandate,kw_executive_order,kw_state_statute,kw_state_law_required,kw_voter_approved,kw_measure_prop,kw_rate_covenant,kw_seismic_retrofit,kw_unsafe_building,kw_required_by_law,kw_statutory_mandate
044074DT6,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DY5,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
044074DW9,City of Asheville NC Water System Revenue,2015-06-11,EA714162-EA560759-EA956890,Yes,Water/Sewer,0,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,0,1,0
79765R2E8,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,ES1078538-ES842358-ES1243371,Yes,Water/Sewer,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,89,23,0,0,0,0
79765RP78,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,ES997086-ES780844-ES1182154,Yes,Water/Sewer,0,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,64,16,0,0,0,0
79772EBJ7,City & County of San Francisco CA Community Facilities District No 2014-1,2017-11-09,EP1028838-ES833343-ES1234413,Yes,Mello-Roos,0,1,0,1,179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,11,164,0,0,0,0,0
79765R2J7,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,ES1078538-ES842358-ES1243371,Yes,Water/Sewer,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,89,23,0,0,0,0
79768HCT3,San Francisco City & County Public Utilities Commission Wastewater Revenue,2016-05-24,P21519443-P21175017-P21591296,Yes,Water/Sewer,0,0,0,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,56,23,0,0,0,0
53945CFU9,City of Los Angeles CA Wastewater System Revenue,2017-05-24,EP996982-EP772996-EP1174766,Yes,Water/Sewer,0,1,0,1,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,44,6,0,0,0,0
542424VD5,City of Long Beach CA Harbor Revenue,2017-06-28,ER1064021-ER833314-ER1234218,Yes,Ports/Marina,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0
79765R2K4,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,P11837901-P11408439-P11850619,Yes,Water/Sewer,0,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,93,28,0,0,0,0
24916PGB7,Board of Water Commissioners City & County of Denver/The,2017-05-23,EP998065-EP773774-EP1175532,Yes,Water/Sewer,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
051595AY2,City of Aurora CO Water Revenue,2016-08-16,EP942755-EP731498-EP1133209,Yes,Water/Sewer,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,0,0,0,1,0
79765RQ44,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,ES997086-ES780844-ES1182154,Yes,Water/Sewer,0,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,64,16,0,0,0,0
79765R2R9,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,P11837901-P11408439-P11850619,Yes,Water/Sewer,0,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,93,28,0,0,0,0
79765R2P3,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,P11837901-P11408439-P11850619,Yes,Water/Sewer,0,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,93,28,0,0,0,0
051595AW6,City of Aurora CO Water Revenue,2016-08-16,EP942755-EP731498-EP1133209,Yes,Water/Sewer,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,0,0,0,1,0
79765R2G3,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,ES1078538-ES842358-ES1243371,Yes,Water/Sewer,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,89,23,0,0,0,0
53945CFT2,City of Los Angeles CA Wastewater System Revenue,2017-05-24,EP996982-EP772996-EP1174766,Yes,Water/Sewer,0,1,0,1,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,44,6,0,0,0,0
79765R2Q1,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,P11837901-P11408439-P11850619,Yes,Water/Sewer,0,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,93,28,0,0,0,0
395468LM1,City of Greensboro NC Combined Water & Sewer System Revenue,2017-08-17,ER1074674-ER841832-ER1242654,Yes,Water/Sewer,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,13,0,0,2,0
051595AR7,City of Aurora CO Water Revenue,2016-08-16,EP942755-EP731498-EP1133209,Yes,Water/Sewer,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,0,0,0,1,0
79765RQ93,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-13,P11837901-P11408439-P11850619,Yes,Water/Sewer,0,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,93,28,0,0,0,0
79765R2S7,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,P11837901-P11408439-P11850619,Yes,Water/Sewer,0,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,93,28,0,0,0,0
