CUSIP,Issuer_Name,Issue_Date,Self_reported_Green,Amt_Issued,State,n_prospectuses,match_kind,prospectus_files
79765R2J7,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,24935000.0,CA,1,prefix+suffix,ES1078538-ES842358-ES1243371
79768HCT3,San Francisco City & County Public Utilities Commission Wastewater Revenue,2016-05-24,Yes,9030000.0,CA,6,prefix+split_suffix;prefix+suffix,ES1184461-ES925614-ES1326629;ES786506-ES618502-ES1014137;P21519443-P21175017-P21591296;P21695700-P21303909-P21735102;P21830885-P21403242-P21845144;P21853260-ES925634-ES1326652
53945CFU9,City of Los Angeles CA Wastewater System Revenue,2017-05-24,Yes,3975000.0,CA,1,prefix+suffix,EP996982-EP772996-EP1174766
542424VD5,City of Long Beach CA Harbor Revenue,2017-06-28,Yes,25985000.0,CA,1,full,ER1064021-ER833314-ER1234218
79765R2K4,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,18100000.0,CA,2,prefix+suffix,ES1078538-ES842358-ES1243371;P11837901-P11408439-P11850619
24916PGB7,Board of Water Commissioners City & County of Denver/The,2017-05-23,Yes,68190000.0,CO,1,prefix+suffix,EP998065-EP773774-EP1175532
051595AY2,City of Aurora CO Water Revenue,2016-08-16,Yes,16345000.0,CO,2,full;prefix+split_suffix,EP942755-EP731498-EP1133209;P11525769-P11178196-P11594549
79765RQ44,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,Yes,53520000.0,CA,1,full,ES997086-ES780844-ES1182154
186423AW9,City of Cleveland OH Water Pollution Control,2016-04-14,Yes,7595000.0,OH,1,full,ES781071-ES614229-ES1009918
4386706F3,City & County of Honolulu HI,2016-10-26,Yes,9700000.0,HI,1,prefix+suffix,EP955560-EP741280-EP1142849
79765R2R9,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,61540000.0,CA,3,prefix+suffix,ES1078538-ES842358-ES1243371;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
79765R2P3,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,46855000.0,CA,3,prefix+suffix,ES1078538-ES842358-ES1243371;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
051595AW6,City of Aurora CO Water Revenue,2016-08-16,Yes,6045000.0,CO,1,full,EP942755-EP731498-EP1133209
79765R2G3,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,22615000.0,CA,1,prefix+suffix,ES1078538-ES842358-ES1243371
53945CFT2,City of Los Angeles CA Wastewater System Revenue,2017-05-24,Yes,11580000.0,CA,1,prefix+suffix,EP996982-EP772996-EP1174766
