Issuer_Name,Issue_Date,n_CUSIPs,n_CUSIPs_covered,Self_reported_Green_any,Total_Face_Value,Primary_State,n_prospectuses,prospectus_files
City of Bloomington IN Waterworks Revenue,2022-06-23,19,19,Yes,15430000,IN,1,P21579687-P21219463-P21641161
City of Bloomington MN,2018-12-05,15,15,Yes,10805000,MN,1,ER1167878-ER912933-ER1313398
City of Boise City ID Water Renewal Revenue,2022-06-30,16,2,No,76835000,ID,1,P11610223-P11241605-P11665208
City of Boston MA,2020-12-30,4,4,Yes,23885000,MA,1,P31402850-P31090850-P31499586
City of Boulder CO Water & Sewer Revenue,2022-06-01,21,21,No,44140000,CO,1,P11604243-P11237326-P11660407
City of Charleston SC Waterworks & Sewer System Revenue,2022-06-30,19,19,No,151190000,SC,1,P11611405-P11242428-P11666133
City of Cincinnati OH,2015-08-20,1,1,No,3450000,OH,1,EA740986-EA580655-EA976659
City of Cleveland OH Water Pollution Control,2016-04-14,22,22,Yes,32390000,OH,2,ES781071-ES614229-ES1009918;P21832967-P11362993-P21846817
City of Cleveland OH Water Pollution Control,2024-08-15,22,22,No,29675000,OH,1,P21832967-P11362993-P21846817
City of Columbia SC Stormwater System Revenue,2018-12-19,22,22,Yes,37900000,SC,1,ER1175794-ER919055-ER1319618
City of Columbia SC Waterworks & Sewer System Revenue,2023-12-07,23,23,No,46325000,SC,1,P21755236-P31126687-P31539106
City of Decatur IL,2016-11-09,20,20,Yes,22205000,IL,2,ER993766-ER777992-ER1179255;P21570039-P21212802-P21633963
City of Decatur IL,2022-04-28,17,17,Yes,24840000,IL,1,P21570039-P21212802-P21633963
City of Elkhart IN Sewage Works Revenue,2021-07-29,18,18,Yes,5445000,IN,1,P21480325-P21147765-P21561430
City of Fort Wayne IN Sewage Works Revenue,2022-05-25,24,21,Yes,25000000,IN,1,P11602915-P11236416-P11659389
City of Gainesville FL Utilities System Revenue,2021-08-11,1,1,Yes,39475000,FL,1,P11521974-P11173003-P11588855
City of Greensboro NC Combined Water & Sewer System Revenue,2017-08-17,12,12,Yes,25990000,NC,1,ER1074674-ER841832-ER1242654
City of Gresham OR,2013-07-30,15,15,No,7610000,OR,1,EA548110-EA427013-EA823896
City of Hampton VA,2020-12-02,20,20,Yes,10725000,VA,1,P21416519-P21100709-P21510052
City of Joliet IL Waterworks & Sewerage Revenue,2025-02-04,8,8,Yes,45455000,IL,1,P21986556-P21514279-P21968327
City of Joliet IL Waterworks & Sewerage Revenue,2025-04-12,5,5,Yes,64380000,IL,1,P21986556-P21514279-P21968327
City of Kalamazoo MI Wastewater System Revenue,2022-04-14,17,17,Yes,27560000,MI,1,P21565480-P21209389-P21630189
City of Kalamazoo MI Water Supply System Revenue,2022-05-03,17,17,Yes,29480000,MI,1,P31435196-P31115104-P31526400
City of Little Rock AR Water Reclamation System Revenue,2020-12-03,13,0,Yes,22850000,AR,1,P21406465-P21093323-P21502152
City of Long Beach CA Harbor Revenue,2017-06-28,1,1,Yes,25985000,CA,1,ER1064021-ER833314-ER1234218
City of Los Angeles CA Wastewater System Revenue,2015-06-04,11,11,Yes,188755000,CA,5,EA716992-EA562911-EA959013;EP996982-EP772996-EP1174766;ER1165936-ER911496-ER1311964;ER890479-ER695548-ER1097054;P11591429-P11228081-P11650034
City of Los Angeles CA Wastewater System Revenue,2015-06-30,9,9,Yes,100835000,CA,1,ER890479-ER695548-ER1097054
City of Los Angeles CA Wastewater System Revenue,2017-05-24,44,44,Yes,450150000,CA,4,EA716992-EA562911-EA959013;EP996982-EP772996-EP1174766;ER890479-ER695548-ER1097054;P11591429-P11228081-P11650034
