CUSIP,Issuer_Name,Issue_Date,primary_prospectus,n_prospectus_matches,match_kind,prospectus_total_words,green_section_chars,n_green_keywords,green_keyword_density_per_1k,n_frameworks_cited,frameworks_cited,has_SPO,spo_verifiers,bloomberg_self_reported_green,bloomberg_esg_assurance,bloomberg_esg_framework,bloomberg_project_category,bloomberg_industry,city_fips7,State
198502AF3,City of Columbia SC Stormwater System Revenue,2018-12-19,ER1175794-ER919055-ER1319618,1,full,66885,8000,220,3.289,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,Climate Change Adaptation,Special Assessment,4516000.0,SC
094780V91,City of Bloomington MN,2018-12-05,ER1167878-ER912933-ER1313398,1,prefix+split_suffix,64133,8000,61,0.951,0,,0,,Yes,No,Yes,Sustainable Water,General Obligation,2706616.0,MN
79765R5A3,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,ER1294533-ES1040166-ES1443450,3,full;prefix+suffix,378671,8000,278,0.734,2,Climate Bonds Standard;Sustainable Development Goals,1,Sustainalytics;Climate Bond Initiative,Yes,No,Yes,Sustainable Water,Water/Sewer,667000.0,CA
79771FAA5,City of San Francisco CA Public Utilities Commission Water Revenue,2020-10-21,P11837901-P11408439-P11850619,2,prefix+suffix,179295,8000,385,2.147,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
86754EAU0,Sunnyvale Financing Authority,2020-11-12,P21413204-P21094842-P21503807,1,full,140498,0,148,1.053,0,,0,,Yes,No,No,"Renewable Energy, Green Buildings",Appropriation,677000.0,CA
79771FFJ1,City of San Francisco CA Public Utilities Commission Water Revenue,2020-09-01,P11837901-P11408439-P11850619,1,full,179295,8000,385,2.147,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,No,Yes,Sustainable Water,Water/Sewer,667000.0,CA
79765R5B1,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,ER1294533-ES1040166-ES1443450,3,full;prefix+suffix,378671,8000,278,0.734,2,Climate Bonds Standard;Sustainable Development Goals,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,Sustainable Water,Water/Sewer,667000.0,CA
79765R5J4,City of San Francisco CA Public Utilities Commission Water Revenue,2020-09-23,P11411213-P11096461-P11505380,1,full,157446,8000,300,1.905,3,ICMA Green Bond Principles;Climate Bonds Standard;Sustainable Development Goals,1,Sustainalytics;Climate Bond Initiative;ICMA GBP;Green Bond Principles,Yes,No,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
79771FAB3,City of San Francisco CA Public Utilities Commission Water Revenue,2020-10-21,P11837901-P11408439-P11850619,1,prefix+suffix,179295,8000,385,2.147,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
812643VJ0,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
