CUSIP,Issuer_Name,Issue_Date,primary_prospectus,prospectus_total_words,bloomberg_industry,bloomberg_project_category,bloomberg_self_reported_green,n_compliance_keywords,compliance_density_per_1k,compelled_by_text,compelled_by_text_strict,kw_clean_water_act,kw_safe_drinking_water,kw_cercla,kw_npdes,kw_consent_decree,kw_epa_enforcement,kw_administrative_order,kw_ms4_permit,kw_compliance_schedule,kw_court_order,kw_regulatory_mandate,kw_tmdl,kw_violation,kw_enforcement_action
044074EH1,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EJ7,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EK4,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EL2,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EM0,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EN8,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EP3,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EQ1,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074ER9,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074ES7,City of Asheville NC Water System Revenue,2021-09-30,EA714162-EA560759-EA956890,70338,Water/Sewer,Sustainable Water,Yes,3,0.043,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
044074ET5,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EU2,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EV0,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EW8,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
101029WZ5,Boston Water & Sewer Commission,2021-07-07,P21471764-P21141645-P21554828,88019,Water/Sewer,Sustainable Water,Yes,86,0.977,1,1,13,18,0,30,17,0,0,0,0,2,3,2,0,1
101029XA9,Boston Water & Sewer Commission,2021-07-07,P21471764-P21141645-P21554828,88019,Water/Sewer,Sustainable Water,Yes,86,0.977,1,1,13,18,0,30,17,0,0,0,0,2,3,2,0,1
101029XH4,Boston Water & Sewer Commission,2021-07-07,P21471764-P21141645-P21554828,88019,Water/Sewer,Sustainable Water,Yes,86,0.977,1,1,13,18,0,30,17,0,0,0,0,2,3,2,0,1
101029WX0,Boston Water & Sewer Commission,2021-07-07,P21471764-P21141645-P21554828,88019,Water/Sewer,Sustainable Water,Yes,86,0.977,1,1,13,18,0,30,17,0,0,0,0,2,3,2,0,1
101029WY8,Boston Water & Sewer Commission,2021-07-07,P21471764-P21141645-P21554828,88019,Water/Sewer,Sustainable Water,Yes,86,0.977,1,1,13,18,0,30,17,0,0,0,0,2,3,2,0,1
101029XC5,Boston Water & Sewer Commission,2021-07-07,P21471764-P21141645-P21554828,88019,Water/Sewer,Sustainable Water,Yes,86,0.977,1,1,13,18,0,30,17,0,0,0,0,2,3,2,0,1
